course_prefix,course_number,course_title,course_desc,num_units,dept_name,inst_ipeds,metadata
AJ,302,Capitalism &amp; Economic Justice,"An overview of the history, nature, and transformation of global capitalism, and the hierarchies and inequities associated with capitalist developments. Topics covered include the history of capitalism and its critics, alternative conceptions for economic life and economic justice, and possibilities for social transformation and equitable economic conditions.",3,Administration of Justice,141565,course_code: AJ 302; course_title: Capitalism & Economic Justice
AJ,303,Feminism and Justice,"An overview of the history and progression of modern feminist thought and practice, focusing on how different frameworks within feminist theory understand gender inequality and conceptualize justice. Topics covered include liberal, radical, intersectional, womanist, Indigenous, and Marxist/socialist feminisms.",3,Administration of Justice,141565,course_number: AJ 303; course_title: Feminism and Justice
AJ,304,Fascism and Authoritarianism,"An examination of the history and growth of political extremism in the U.S. and globally, the ideology and practice of fascism, and the potentiality for authoritarianism in liberal democracies.",3,Administration of Justice,141565,course_code: AJ 304; course_title: Fascism and Authoritarianism
AJ,305,Justice and the Environment,"An examination of theories of justice as they relate to environmental issues, with emphasis on the significance of animal-human relations, non-human interests, and complex ecosystems for imagining and practicing justice. Topics covered include ecological justice, environmental justice, anthropocentrism, ecocentrism, biocentrism, biodiversity, animal rights, and radical environmentalism.",3,Administration of Justice,141565,course_number: AJ 305; course_title: Justice and the Environment
AJ,307,Animal Cruelty,"An examination of animal cruelty and animal abuse in the United States, with emphasis on the treatment of domesticated and companion animals in society. Topics covered include the nature of animal-human relations, crimes against animals, animal protection laws, animal law enforcement, animal ethics, animal welfare, animal rights, and animal advocacy.",3,Administration of Justice,141565,attributes: GCC; course_number: AJ 307; course_title: Animal Cruelty
AJ,320,Crime and Society,"This course is designed to introduce students to the study of crime, its social construction, how it is controlled, who is victimized and different theories as to why we commit crime.",3,Administration of Justice,141565,course_code: AJ 320; course_name: Crime and Society
AJ,321,Policing and Punishment,"This course explores the interplay between policing, punishment, and political development. Focusing on the United States, the course asks two main questions. First, what role have policing and punishment played in the historical development of American political order and institutions? Second, how do policing and punishment shape contemporary political behavior and inequality? In addressing these questions, the goal for students to situate criminal justice institutions and practices in terms of broader political, economic, and social dynamics.",3,Administration of Justice,141565,Course: AJ 321; Course Title: Policing and Punishment
AJ,322,Criminal Justice,"An examination of the criminal justice system, its structure and its function, with emphasis on the disparate experiences as a result of race, class, or gender. Topics covered include how crime is defined, policing, courts, corrections, mass incarceration, collateral consequences, and class, racial and gendered disparities.",3,Administration of Justice,141565,course_name: Criminal Justice; course_number: AJ 322; prerequisites: AJ 101 or instructor's consent
AJ,323,Criminal Law and Procedure,"This course addresses the basics of criminal law and procedure. Topics will include the fundamental principles of criminal law and procedure, how they were established, and how they are commonly practiced.",3,Administration of Justice,141565,course_name: Criminal Law and Procedure; course_number: AJ 323; prerequisites: AJ 101 or instructor's consent
AJ,327,Global Crime,"This course explores the organization of global markets for illegal goods and services. Topics include the development of order and illegality, along with the ways in which the illicit movement of humans, natural resources, drugs, guns, and information help shape domestic patterns of violence, welfare, and prosperity.",3,Administration of Justice,141565,course_name: Global Crime; course_number: AJ 327
AJ,330,Race and Violence,"This course studies the ways in which racial groupings and categorizations help shape patterns and instances of violence. To do so, the course explores theories of identity-based violence, the specific origins of racial classification systems, and the ways in which economic, political, social, and psychological processes link those systems to different forms of violence.",3,Administration of Justice,141565,course_name: Race and Violence; course_number: AJ 330
AJ,333,Indigenous Justice,"This course examines efforts by indigenous populations to pursue and promote justice. With a focus on North America and the Pacific, topics include traditional conceptions of justice, interactions with broader legal and economic systems, and the development of activism, education, and identity in response to injustices.",3,Administration of Justice,141565,attributes: HPP; course_code: AJ 333; course_title: Indigenous Justice
AJ,334,Indigenous Constitutional Law,"This course focuses on understanding Supreme Court cases involving Native Americans and Native Hawaiians. Topics will include political sovereignty, religious and cultural practices, land and water rights, and treaties.",3,Administration of Justice,141565,attributes: HPP; course_name: Indigenous Constitutional Law; course_number: AJ 334
AJ,340,Propaganda &amp; Justice in the US,"This course gives students an insight into the power of propaganda and how language influences how institutions and individuals define Justice. Topics covered include how information is presented, how attitudes and opinions are developed, and media literacy skills to help students navigate the modern media market.",3,Administration of Justice,141565,course_code: AJ 340; course_title: Propaganda & Justice in the US
AJ,360,Public Leadership &amp; Ethics,"A survey of ethics and leadership skills for public administrators and public managers. Topics covered include theories of leadership, professional standards, ethical principles, ethical responsibilities in a democratic society, and the application of leadership theories to public sector settings.",3,Administration of Justice,141565,course_name: Public Leadership & Ethics; course_number: AJ 360
AJ,361,Advocacy and Criminal Justice,"An examination of contemporary issues related to the administration of justice, with emphasis on advocating for oppressed populations. Topics covered include advocacy campaigns, fundraising, legislative lobbying, coalition building, and community organizing.",3,Administration of Justice,141565,attributes: ['GCC']; course_name: Advocacy and Criminal Justice; course_number: AJ 361
AJ,362,Public Policy Analysis,"An introduction to public policy analysis for students planning careers in public agencies or non-profit service, focusing on the application of public policy models to examine public policy issues related to the administration of justice.",3,Administration of Justice,141565,course_name: Public Policy Analysis; course_number: AJ 362
